detected_object_index,best_match_product,similarity_score
0,"Women's Satin Silk Printed Square Scarf Dupatta (110 * 110 cm, Multi)",0.3839727493061492
1,Men's Tweed Woollen Bandhgala Waistcoat Brown Checkered Sadri/Nehru Jacket for Winter,0.4028809138914979
2,"Women's Satin Silk Printed Square Scarf Dupatta (110 * 110 cm, Multi)",0.4141686465814113
3,mens Extras size (s14_indo_p),0.11335704550820594
4,Boys Sherwani Set Full Sleeve Nehru Collared Gold Tone Sherwani Jacket and The Chalk White Plain Churidar.,0.3116147563310788
5,Men Gold-Coloured &amp; Copper-Toned Self Design Sherwani Set,0.11681270412359639
6,Indo pants For Men (UP-RI-516),0.08839291045626801
