Frame,Person_ID,Best_Match,Score
keyframe_158.jpg,8,A person wearing pants,0.5132
keyframe_158.jpg,10,A person wearing pants,0.4755
keyframe_158.jpg,6,A t-shirt,0.424
keyframe_158.jpg,9,A Necklace,0.422
keyframe_158.jpg,2,A person wearing pants,0.3491
keyframe_158.jpg,4,A t-shirt,0.3032
keyframe_158.jpg,7,A Necklace,0.2724
keyframe_159.jpg,2,A Saree,0.7733
keyframe_159.jpg,1,A Saree,0.5217
keyframe_16.jpg,2,A Saree,0.8153
keyframe_16.jpg,1,A Kurta,0.8021
keyframe_160.jpg,1,A t-shirt,0.3827
keyframe_161.jpg,2,A Saree,0.5883
keyframe_161.jpg,1,A Saree,0.4891
keyframe_162.jpg,1,A person wearing pants,0.2584
keyframe_163.jpg,3,A person wearing pants,0.7456
keyframe_163.jpg,1,A Saree,0.7057
keyframe_163.jpg,5,A person wearing pants,0.5684
keyframe_163.jpg,7,A Saree,0.5388
keyframe_163.jpg,4,A t-shirt,0.5261
keyframe_163.jpg,6,A person wearing pants,0.3503
keyframe_163.jpg,10,A Necklace,0.3348
keyframe_163.jpg,8,A person wearing pants,0.3085
keyframe_163.jpg,9,A person wearing pants,0.2612
keyframe_163.jpg,2,A t-shirt,0.2214
keyframe_164.jpg,1,A Kurta,0.9888
keyframe_164.jpg,2,A Saree,0.4367
keyframe_165.jpg,2,A person wearing pants,0.9408
keyframe_165.jpg,4,A Saree,0.7038
keyframe_165.jpg,3,A Saree,0.6281
keyframe_165.jpg,1,A person wearing pants,0.5598
keyframe_165.jpg,5,A Kurta,0.4991
keyframe_166.jpg,1,A Kurta,0.3552
keyframe_167.jpg,1,A Saree,0.5324
keyframe_168.jpg,1,A Kurta,0.6349
keyframe_169.jpg,1,A Necklace,0.5254
keyframe_17.jpg,1,A Kurta,0.6663
keyframe_170.jpg,1,A Saree,0.5213
keyframe_171.jpg,2,A Kurta,0.8677
keyframe_171.jpg,1,A Saree,0.6963
keyframe_172.jpg,1,A Kurta,0.9873
keyframe_172.jpg,2,A Saree,0.4267
keyframe_173.jpg,1,A Kurta,0.6413
keyframe_174.jpg,1,A Kurta,0.9815
keyframe_174.jpg,2,A Saree,0.6677
keyframe_175.jpg,1,A Saree,0.6908
keyframe_176.jpg,1,A Kurta,0.9881
keyframe_176.jpg,2,A Saree,0.5991
keyframe_177.jpg,1,A Saree,0.4534
keyframe_178.jpg,7,A Saree,0.8857
keyframe_178.jpg,2,A person wearing pants,0.8724
keyframe_178.jpg,5,A person wearing pants,0.8615
keyframe_178.jpg,3,A person wearing pants,0.8224
keyframe_178.jpg,1,A Saree,0.8173
keyframe_178.jpg,6,A Saree,0.7889
keyframe_178.jpg,4,A person wearing pants,0.4611
keyframe_178.jpg,8,A Saree,0.4516
keyframe_179.jpg,1,A Saree,0.6008
keyframe_18.jpg,1,A Kurta,0.9383
keyframe_18.jpg,2,A Saree,0.6831
keyframe_180.jpg,1,A Kurta,0.8329
keyframe_181.jpg,1,A woman wearing a saree,0.4491
keyframe_19.jpg,1,A t-shirt,0.8235
keyframe_19.jpg,2,A t-shirt,0.6149
keyframe_19.jpg,3,A person wearing pants,0.3876
keyframe_2.jpg,1,A Saree,0.4292
keyframe_20.jpg,1,A Necklace,0.568
keyframe_20.jpg,2,A Necklace,0.5053
keyframe_21.jpg,2,A Kurta,0.6691
keyframe_21.jpg,1,A t-shirt,0.4702
keyframe_21.jpg,3,A person wearing pants,0.3989
keyframe_22.jpg,2,A person wearing pants,0.4456
keyframe_22.jpg,1,A t-shirt,0.4432
keyframe_23.jpg,2,A t-shirt,0.6762
keyframe_23.jpg,1,A Kurta,0.5912
keyframe_24.jpg,2,A person wearing pants,0.6623
keyframe_24.jpg,1,A t-shirt,0.3946
keyframe_25.jpg,1,A Kurta,0.7792
keyframe_25.jpg,2,A t-shirt,0.5935
keyframe_26.jpg,2,A person wearing pants,0.7298
keyframe_26.jpg,1,A t-shirt,0.4343
keyframe_27.jpg,1,A Kurta,0.5811
keyframe_27.jpg,2,A t-shirt,0.4622
keyframe_28.jpg,2,A person wearing pants,0.662
keyframe_28.jpg,1,A Necklace,0.43
